full_address,MAR_MATCHADDRESS,MAR_XCOORD,MAR_YCOORD,MAR_LATITUDE,MAR_LONGITUDE,MAR_WARD,MAR_CENSUS_TRACT,MAR_ZIPCODE,MARID,MAR_ERROR,MAR_SCORE,MAR_SOURCEOPERATION,MAR_IGNORE
2416 19TH STREET NW,2416 19TH STREET NW,396007.29,139274.88,38.92133724,-77.0460425,Ward 1,4001,20009,238052,,100,DC Address,
2414 19TH STREET NW,2414 19TH STREET NW,396009.46,139268.56,38.92128031,-77.04601744,Ward 1,4001,20009,237995,,100,DC Address,
2412 19TH STREET NW,2412 19TH STREET NW,396011.1,139262.16,38.92122267,-77.0459985,Ward 1,4001,20009,238011,,100,DC Address,
1910 KALORAMA PLACE NW,1910 KALORAMA PLACE NW,395973.16,139237.39,38.92099936,-77.04643586,Ward 1,4001,20009,298480,,100,DC Address,
1908 KALORAMA PLACE NW,1908 KALORAMA PLACE NW,395980.51,139237.27,38.92099831,-77.0463511,Ward 1,4001,20009,298479,,100,DC Address,
1906 KALORAMA PLACE NW,1906 KALORAMA PLACE NW,395987.04,139237.04,38.92099627,-77.0462758,Ward 1,4001,20009,298477,,100,DC Address,
1904 KALORAMA PLACE NW,1904 KALORAMA PLACE NW,395993.46,139237.16,38.92099738,-77.04620177,Ward 1,4001,20009,298476,,100,DC Address,
1902 KALORAMA PLACE NW,1902 KALORAMA PLACE NW,396000.1,139237.04,38.92099633,-77.0461252,Ward 1,4001,20009,298474,,100,DC Address,
1900 KALORAMA PLACE NW,1900 KALORAMA PLACE NW,396017.6,139245.9,38.92107622,-77.04592345,Ward 1,4001,20009,298472,,100,DC Address,
2408 19TH STREET NW,2408 19TH STREET NW,396019.15,139239.29,38.92101668,-77.04590553,Ward 1,4001,20009,238140,,100,DC Address,
2406 19TH STREET NW,2406 19TH STREET NW,396021.83,139233.14,38.92096129,-77.04587459,Ward 1,4001,20009,238141,,100,DC Address,
2404 19TH STREET NW,2404 19TH STREET NW,396026.38,139224.16,38.92088042,-77.04582207,Ward 1,4001,20009,238145,,100,DC Address,
1907 BELMONT ROAD NW,1907 BELMONT ROAD NW,396029.44,139212.46,38.92077504,-77.04578672,Ward 1,4001,20009,226103,,100,DC Address,
2660 CONNECTICUT AVENUE NW,2660 CONNECTICUT AVENUE NW,395377.67,139673.44,38.9249245,-77.05330574,Ward 3,501,20008,311605,,100,DC Address,
2902 PORTER STREET NW,2902 PORTER STREET NW,394830.89,140976.04,38.93665568,-77.05962114,Ward 3,600,20008,223261,,100,DC Address,
2710 MACOMB STREET NW,2710 MACOMB STREET NW,395188.39,140604.79,38.93331338,-77.05549509,Ward 3,1302,20008,223220,,100,DC Address,
1470 CHAPIN STREET NW,1470 CHAPIN STREET NW,397022.03,139271.01,38.9213064,-77.03434087,Ward 1,3700,20009,234167,,100,DC Address,
1436 CHAPIN STREET NW,1436 CHAPIN STREET NW,397069.44,139275.44,38.92134646,-77.03379417,Ward 1,3700,20009,218281,,100,DC Address,
1811 WYOMING AVENUE NW,1811 WYOMING AVENUE NW,396341.31,139015.15,38.91899896,-77.04218932,Ward 1,4002,20009,235457,,100,DC Address,
1837 WYOMING AVENUE NW,1837 WYOMING AVENUE NW,396276.96,139006.58,38.91892149,-77.04293131,Ward 1,4002,20009,305000,,100,DC Address,
1831 CALIFORNIA STREET NW,1831 CALIFORNIA STREET NW,396305.79,138909.37,38.91804591,-77.04259834,Ward 1,4002,20009,226072,,100,DC Address,
2829 CONNECTICUT AVENUE NW,2829 CONNECTICUT AVENUE NW,395359.87,139970.36,38.92759916,-77.05351302,Ward 3,501,20008,223259,,100,DC Address,
2401 H STREET NW,2401 H STREET NW,395513.66,136880.19,38.89976267,-77.05171922,Ward 2,5600,20037,274902,,100,DC Address,
2301 N STREET NW,2301 N STREET NW,395600.43,137734.79,38.90746165,-77.0507244,Ward 2,5500,20037,226268,,100,DC Address,
1320 21ST STREET NW,1320 21ST STREET NW,395926.61,137801.71,38.90806606,-77.04696414,Ward 2,5500,20036,226571,,100,DC Address,
1332 21ST STREET NW,1332 21ST STREET NW,395930.73,137824.56,38.90827192,-77.04691677,Ward 2,5500,20036,226566,,100,DC Address,
1330 21ST STREET NW,1330 21ST STREET NW,395932.9,137818.73,38.90821941,-77.04689172,Ward 2,5500,20036,276223,,100,DC Address,
2117 N STREET NW,2117 N STREET NW,395871.51,137730.44,38.90742378,-77.04759898,Ward 2,5500,20037,226140,,100,DC Address,
2118 O STREET NW,2118 O STREET NW,395883.57,137831.62,38.9083353,-77.04746055,Ward 2,5500,20037,226312,,100,DC Address,
1308 21ST STREET NW,1308 21ST STREET NW,395925.92,137748.72,38.9075887,-77.04697178,Ward 2,5500,20036,226667,,100,DC Address,
1316 NEW HAMPSHIRE AVENUE NW,1316 NEW HAMPSHIRE AVENUE NW,396037.12,137774.2,38.90781874,-77.04568985,Ward 2,5500,20036,225447,,100,DC Address,
1301 20TH STREET NW,1301 20TH STREET NW,396131.16,137748.13,38.90758432,-77.04460548,Ward 2,10700,20036,226640,,100,DC Address,
1901 19TH STREET NW,1901 19TH STREET NW,396259.66,138654.84,38.91575282,-77.04312889,Ward 2,4202,20009,226385,,100,DC Address,
800 25TH STREET NW,800 25TH STREET NW,395351.81,136894.07,38.89988687,-77.05358515,Ward 2,5600,20037,274738,,100,DC Address,
1275 25TH STREET NW,1275 25TH STREET NW,395397.24,137677.99,38.90694893,-77.05306668,Ward 2,5500,20037,275931,,100,DC Address,
